Data,FuturoMilho,FuturoSoja
02-06-2025,4.3825,10.335
03-06-2025,4.385,10.4075
04-06-2025,4.3875,10.45
05-06-2025,4.395,10.5175
06-06-2025,4.425,10.5725
09-06-2025,4.335,10.56
10-06-2025,4.3875,10.5775
11-06-2025,4.37,10.505
12-06-2025,4.385,10.4225
13-06-2025,4.445,10.6975
16-06-2025,4.3475,10.6975
17-06-2025,4.315,10.74
18-06-2025,4.335,10.7475
20-06-2025,4.2875,10.68
23-06-2025,4.1925,10.5875
24-06-2025,4.1625,10.4675
25-06-2025,4.1025,10.2525
26-06-2025,4.095,10.2275
27-06-2025,4.175,10.2775
